unit_id,building_id,status,usage_code,usage_label
32,1057,complete,1,سكني
33,1047,complete,1,سكني
34,1147,complete,1,سكني
37,1048,complete,1,سكني
38,1048,complete,1,سكني
39,1048,not-used,1,سكني
40,1048,complete,1,سكني
41,1048,complete,1,سكني
42,1765,complete,1,سكني
43,1765,not-used,0,غير محدد
44,1765,not-used,1,سكني
45,1765,complete,1,سكني
46,1061,complete,1,سكني
47,1061,complete,1,سكني
48,1061,complete,1,سكني
52,556,complete,1,سكني
53,556,complete,1,سكني
54,556,complete,1,سكني
55,556,not-used,1,سكني
59,478,complete,1,سكني
60,478,complete,1,سكني
61,1432,not-used,3,تجاري
62,549,complete,1,سكني
63,549,complete,1,سكني
64,549,complete,1,سكني
65,1213,complete,1,سكني
66,1213,not-used,1,سكني
67,1213,not-used,1,سكني
68,1213,not-used,1,سكني
69,1213,not-used,1,سكني
70,463,complete,1,سكني
71,555,complete,1,سكني
72,555,not-used,6,استخدامات اخرى
73,555,complete,1,سكني
74,1454,complete,NULL,غير محدد
75,1454,complete,1,سكني
76,487,not-used,6,استخدامات اخرى
77,487,not-used,6,استخدامات اخرى
78,487,complete,1,سكني
79,523,complete,1,سكني
80,498,not-used,6,استخدامات اخرى
81,498,not-used,1,سكني
82,498,complete,1,سكني
83,498,complete,1,سكني
84,498,complete,1,سكني
86,521,complete,1,سكني
87,464,complete,1,سكني
88,464,complete,1,سكني
89,464,complete,1,سكني
90,496,complete,1,سكني
92,529,complete,1,سكني
93,529,complete,1,سكني
94,529,not-used,6,استخدامات اخرى
95,491,not-used,6,استخدامات اخرى
96,491,complete,1,سكني
97,491,complete,1,سكني
98,491,complete,1,سكني
99,1213,complete,1,سكني
100,1213,complete,1,سكني
101,1213,complete,1,سكني
102,1213,not-used,6,استخدامات اخرى
103,474,not-used,6,استخدامات اخرى
104,474,not-used,1,سكني
105,474,complete,1,سكني
106,534,complete,1,سكني
107,534,complete,1,سكني
108,534,complete,1,سكني
109,534,not-used,NULL,غير محدد
110,547,not-used,1,سكني
111,460,not-used,1,سكني
112,460,not-used,1,سكني
113,503,not-used,NULL,غير محدد
114,503,not-used,NULL,غير محدد
115,503,not-used,NULL,غير محدد
116,478,complete,1,سكني
117,478,complete,1,سكني
118,461,not-used,NULL,غير محدد
119,461,complete,1,سكني
120,461,complete,1,سكني
121,524,complete,1,سكني
122,524,not-used,1,سكني
123,524,complete,1,سكني
124,1409,complete,1,سكني
125,1408,not-used,NULL,غير محدد
126,1408,complete,1,سكني
127,1845,complete,1,سكني
128,1407,complete,3,تجاري
129,1407,not-used,NULL,غير محدد
131,1407,not-used,NULL,غير محدد
132,544,not-used,NULL,غير محدد
133,468,not-used,NULL,غير محدد
134,468,complete,1,سكني
135,472,complete,1,سكني
136,472,not-used,1,سكني
137,472,complete,1,سكني
138,472,complete,1,سكني
139,496,complete,1,سكني
140,496,complete,1,سكني
141,496,not-used,NULL,غير محدد
142,512,not-used,NULL,غير محدد
143,476,not-used,NULL,غير محدد
144,507,not-used,NULL,غير محدد
146,467,complete,1,سكني
147,467,not-used,NULL,غير محدد
148,465,complete,1,سكني
149,465,not-used,NULL,غير محدد
150,465,complete,10,صحي
151,1436,complete,6,استخدامات اخرى
152,515,complete,8,ديني
153,515,complete,8,ديني
154,1455,not-used,NULL,غير محدد
155,1456,not-used,NULL,غير محدد
156,530,complete,1,سكني
157,530,not-used,1,سكني
158,530,complete,1,سكني
159,509,not-used,NULL,غير محدد
160,509,not-used,NULL,غير محدد
161,1459,not-used,NULL,غير محدد
162,1459,not-used,NULL,غير محدد
163,1459,not-used,NULL,غير محدد
164,465,complete,6,استخدامات اخرى
165,525,complete,3,تجاري
166,552,complete,1,سكني
167,552,complete,1,سكني
168,552,complete,1,سكني
169,552,not-used,NULL,غير محدد
170,502,complete,1,سكني
171,502,complete,1,سكني
172,1846,complete,6,استخدامات اخرى
173,542,not-used,NULL,غير محدد
174,542,not-used,NULL,غير محدد
175,542,not-used,NULL,غير محدد
176,542,not-used,NULL,غير محدد
177,452,not-used,NULL,غير محدد
178,452,not-used,NULL,غير محدد
179,1437,not-used,NULL,غير محدد
180,494,not-used,NULL,غير محدد
181,1908,not-used,NULL,غير محدد
182,1908,not-used,NULL,غير محدد
183,1908,not-used,NULL,غير محدد
184,1904,not-used,NULL,غير محدد
185,1904,complete,1,سكني
186,489,complete,NULL,غير محدد
187,469,complete,1,سكني
188,1909,complete,1,سكني
189,1909,complete,1,سكني
190,1909,complete,1,سكني
191,1906,complete,1,سكني
192,1906,complete,1,سكني
193,1906,complete,1,سكني
194,1910,complete,1,سكني
195,1910,complete,1,سكني
196,1910,not-used,NULL,غير محدد
197,522,complete,1,سكني
198,522,complete,1,سكني
199,522,complete,1,سكني
200,1460,not-used,NULL,غير محدد
201,1460,not-used,NULL,غير محدد
202,513,complete,1,سكني
203,513,not-used,1,سكني
204,513,complete,1,سكني
205,513,complete,1,سكني
206,513,not-used,NULL,غير محدد
207,1458,not-used,NULL,غير محدد
208,543,complete,1,سكني
209,543,complete,1,سكني
210,1911,complete,1,سكني
211,1911,complete,1,سكني
212,1911,not-used,NULL,غير محدد
213,516,complete,1,سكني
214,516,not-used,NULL,غير محدد
215,1458,complete,1,سكني
216,1458,not-used,NULL,غير محدد
217,1458,complete,1,سكني
218,505,complete,1,سكني
219,505,complete,1,سكني
220,505,complete,1,سكني
221,479,complete,1,سكني
222,479,not-used,NULL,غير محدد
223,479,complete,1,سكني
224,479,complete,1,سكني
226,456,not-used,NULL,غير محدد
227,456,complete,1,سكني
228,456,complete,1,سكني
229,456,complete,1,سكني
230,1842,not-used,NULL,غير محدد
231,1842,not-used,NULL,غير محدد
232,1842,not-used,NULL,غير محدد
233,1842,not-used,NULL,غير محدد
234,536,complete,1,سكني
235,536,complete,1,سكني
236,536,not-used,NULL,غير محدد
237,456,complete,NULL,غير محدد
240,1117,complete,1,سكني
241,1117,not-used,NULL,غير محدد
242,518,not-used,NULL,غير محدد
243,518,complete,1,سكني
244,518,complete,1,سكني
245,518,not-used,NULL,غير محدد
246,453,complete,1,سكني
247,453,complete,1,سكني
248,453,complete,1,سكني
249,1841,complete,6,استخدامات اخرى
250,550,complete,1,سكني
251,550,complete,1,سكني
252,550,complete,1,سكني
253,550,complete,1,سكني
254,550,not-used,NULL,غير محدد
255,550,complete,1,سكني
256,550,complete,1,سكني
257,1912,not-used,NULL,غير محدد
258,1912,not-used,NULL,غير محدد
259,457,complete,1,سكني
260,520,complete,1,سكني
262,1886,complete,3,تجاري
263,1118,complete,1,سكني
264,1118,not-used,NULL,غير محدد
265,1118,not-used,NULL,غير محدد
266,1262,not-used,NULL,غير محدد
267,1262,complete,1,سكني
268,1262,complete,1,سكني
269,1794,not-used,NULL,غير محدد
270,1900,complete,3,تجاري
271,1900,complete,3,تجاري
272,1145,complete,1,سكني
274,1058,complete,1,سكني
275,1058,complete,1,سكني
276,1893,complete,1,سكني
277,1893,complete,1,سكني
278,1893,complete,1,سكني
279,1406,not-used,NULL,غير محدد
280,506,complete,1,سكني
281,506,complete,1,سكني
282,517,complete,1,سكني
283,517,complete,1,سكني
284,517,complete,1,سكني
285,471,complete,1,سكني
286,471,complete,1,سكني
287,471,complete,1,سكني
288,451,complete,NULL,غير محدد
289,451,complete,3,تجاري
290,451,complete,3,تجاري
291,451,complete,3,تجاري
292,451,complete,3,تجاري
293,493,complete,1,سكني
294,493,complete,1,سكني
295,493,complete,1,سكني
296,493,complete,1,سكني
297,493,complete,1,سكني
298,493,complete,1,سكني
299,493,not-used,NULL,غير محدد
300,459,complete,1,سكني
301,459,complete,1,سكني
302,454,not-used,NULL,غير محدد
303,454,not-used,NULL,غير محدد
304,1421,complete,3,تجاري
